Time,Origin,Left Shoulder,Right Shoulder,Left Hip,Right Hip,Left Knee,Right Knee,Left Ankle,Right Ankle,Left Knee Angle,Right Knee Angle,Left Yaw Angle,Right Yaw Angle,Left Pitch Angle,Right Pitch Angle,Left Roll Angle,Right Roll Angle
0.0002257823944091797,"[-505.8474881854709, -257.7571614989825, -495.11039522550266]","[505.8474881854709, 257.7571614989825, 495.11039522550266]","[-505.8474881854709, -257.7571614989825, -495.11039522550266]","[-237.6521667234486, -144.3442791721755, -453.2919685082926]","[-263.028737500506, -286.4876899125348, -533.6780393500627]","[-83.25346415921018, -256.52273879608396, -846.9735316054624]","[18.840376125581713, -473.54145566773485, -831.9314266568848]","[-200.23631923271643, -95.98978809145927, -1472.3441459481064]","[16.939927198180897, -170.87792154528427, -1018.6855351926823]",137.05159525376658,89.48203330782958,53.395745686158925,126.65283016699928,3.0306783148273175,16.229019049247334,101.51607879340574,78.29928176066304
0.10993480682373047,"[-505.29073343455394, -257.3206017410281, -494.778896927569]","[505.29073343455394, 257.3206017410281, 494.778896927569]","[-505.29073343455394, -257.3206017410281, -494.778896927569]","[-255.79529192603144, -154.54710671316343, -479.4244720699311]","[-273.8381678950538, -295.74768395607634, -554.4826672536032]","[-85.3786303899031, -258.08035869908065, -851.2426329029441]","[18.88329649006147, -472.62146133640135, -830.7201804688924]","[-201.97215073082629, -96.4802944046229, -1475.9473552230425]","[22.73521640543339, -165.27995026089957, -1000.1041594682814]",135.0151191451774,87.60669918615416,55.3327484936473,125.79010692909625,5.620782915240343,19.405918304284768,104.69003775678999,78.52109838281295
0.22251486778259277,"[-983.6645286502621, -424.5193062737137, -941.2145545365472]","[33.069695192442396, 92.26327299099745, 55.11827998658612]","[-33.06969519244228, -92.2632729909974, -55.11827998658623]","[225.10690667422227, 17.75908384961639, -32.41871517973425]","[194.38642736592396, -133.82981755297953, -124.7079125100745]","[395.48939984306594, -86.82573870628102, -399.78042691830024]","[500.9272096231345, -299.05078939246823, -377.5054077760062]","[271.4515761141796, 70.54815719897772, -1043.6019460923778]","[501.8303833302503, 4.438557530299192, -552.1479270337359]",134.85963105812095,87.82563717074609,68.09055477287218,114.03812574355858,52.233905166124956,16.274294901975793,14.090568204670383,33.33756311458471
0.33909082412719727,"[-984.0705286160076, -427.1420502024488, -941.0664450491497]","[39.70953623455432, 95.31425536266516, 61.375678075772385]","[-39.70953623455421, -95.31425536266522, -61.3756780757725]","[213.78908538191854, 13.189043785173283, -54.59091838529753]","[189.31598514537654, -135.21664302884255, -138.03063689507303]","[398.3135854208581, -83.88456227590905, -392.48705610934735]","[500.4102808939319, -300.9378716262679, -379.75200600821745]","[274.54614263126507, 71.27746419762406, -1035.9955965047648]","[492.2748692441669, -4.8734306307719635, -581.4161605806698]",132.18092396672515,88.93422616425539,67.0666122068035,115.95589650624942,43.6509292648888,13.056022185527398,14.770044128939105,23.53863994818135
0.448131799697876,"[-978.5664937865974, -425.95683757011136, -936.5755293629953]","[41.96988242733562, 96.13730366366343, 63.79192180007942]","[-41.96988242733562, -96.13730366366337, -63.79192180007942]","[216.49476794681402, 19.12635433451743, -54.319656676600516]","[179.5272888220195, -137.04338054164793, -156.52300979889867]","[392.3895668067013, -83.56387509351117, -398.17465191641975]","[493.20877932064064, -306.7611826956206, -392.04280754944205]","[267.43789975436596, 67.97462401221588, -1044.4322949478847]","[497.1632550936742, 2.1710267585468728, -553.3871536137514]",133.1683041356175,84.91988241376448,67.90455420195339,114.64852352752382,44.42736904700049,9.744192770716092,13.920809801157537,32.41743094764234
0.5577819347381592,"[-976.7128743630637, -423.1062014128865, -937.2594807867789]","[45.6675652953835, 96.87530025821576, 66.46261384124534]","[-45.66756529538338, -96.87530025821576, -66.46261384124534]","[208.4737526571389, 21.51162218841671, -71.79595020909699]","[173.31258874797663, -134.09201958049442, -172.25978928891357]","[381.2019079842888, -82.87209234652227, -409.40604099354516]","[490.4640387689458, -305.4871881491111, -393.62525320143243]","[265.73762210551854, 71.26689076420251, -1044.847237103163]","[497.28407646718415, 7.9650683162690825, -548.2754737241506]",133.11462327490327,83.27180537340732,64.50573096699763,115.83450218121936,39.54682746074514,6.011903552236691,13.905697097002836,33.46061120906418
0.670313835144043,"[-510.0261158404609, -262.12161465023627, -499.37293628042556]","[510.0261158404609, 262.12161465023627, 499.37293628042556]","[-510.0261158404609, -262.12161465023627, -499.37293628042556]","[-261.90920001938275, -138.71461380416656, -520.0812075077285]","[-287.4470754158772, -288.93374774854584, -609.604468756615]","[-88.38510022780531, -240.3952323380807, -854.8399574321988]","[27.31212834458603, -461.3608764002009, -821.9053827268813]","[-195.90572668233858, -86.34446336403647, -1470.732251707203]","[22.01255126301487, -157.702721566011, -1014.9139115814544]",133.11092635024104,85.0101987626031,54.37374102164438,125.40959736475331,9.855159624659663,28.90719050158068,105.72560375787191,86.22226430913027
0.7926747798919678,"[-511.24252719152355, -264.64757121283105, -499.04075222718404]","[511.24252719152355, 264.64757121283105, 499.04075222718404]","[-511.24252719152355, -264.64757121283105, -499.04075222718404]","[-252.98291741721516, -128.66461272876887, -516.2943832940407]","[-308.77627727592983, -300.28389072163736, -645.4115615143102]","[-90.76126334929609, -238.94877748418537, -864.773449803272]","[24.040786313538888, -460.53278038080487, -819.0095452170302]","[-195.02039517780338, -79.07277354019101, -1476.0070460451611]","[23.691932430422526, -161.74961778943265, -1003.6969972901344]",134.1796039312998,83.61858287561869,51.35208492521768,123.99747446747776,8.57158082585903,35.044533486174295,101.35758416712272,89.14150806191353
0.9077680110931396,"[-510.6873752016833, -263.7834936095794, -498.29050185367646]","[510.6873752016833, 263.7834936095794, 498.29050185367646]","[-510.6873752016833, -263.7834936095794, -498.29050185367646]","[-276.3708678672743, -133.64614427000907, -554.4111841307981]","[-323.1202482639023, -300.7649681911281, -675.8899873734435]","[-105.23563002169846, -236.15511934636345, -889.8238115680338]","[17.18987589347597, -464.7846553821619, -828.0292536263928]","[-193.76601541023518, -63.718317989294405, -1473.53525337946]","[24.128887683230573, -163.86606240794964, -997.7719962411829]",132.7588436650033,81.34808849968651,52.21031745131492,124.80001214077251,10.952501168229292,38.86202970624563,100.40489149075825,88.99649679981258
1.021751880645752,"[-1114.572903146101, -478.54883599940126, -1064.191950762722]","[-85.1507801956493, 47.27407446464349, -56.99949028377432]","[85.1507801956493, -47.27407446464349, 56.999490283774435]","[328.7735537934158, 89.50221033702076, 5.002948781547275]","[282.69042980860274, -72.9750673908668, -117.15811531414624]","[494.9796573147622, -10.2624224885123, -303.49934848726207]","[621.5382999374704, -244.55520335469362, -254.8710575872094]","[407.4902703457909, 156.922100974121, -907.3480830715744]","[623.697032470795, 51.275500622963705, -434.19916825005976]",132.27858940947073,79.55786139082846,78.67233763134543,108.70936934388021,59.33497229287951,2.7866410199998803,34.17430214234207,48.11531292722692
