Time,Origin,Left Shoulder,Right Shoulder,Left Hip,Right Hip,Left Knee,Right Knee,Left Ankle,Right Ankle,Left Knee Angle,Right Knee Angle,Left Yaw Angle,Right Yaw Angle,Left Pitch Angle,Right Pitch Angle,Left Roll Angle,Right Roll Angle
0.0002129077911376953,"[-1126.9852984600193, -493.05761660989936, -1064.518923584865]","[-102.6663143428384, 35.67808970418611, -73.40786254192358]","[102.6663143428384, -35.67808970418616, 73.40786254192358]","[303.95656501733254, 140.14579572050974, -90.19819807995623]","[272.05171315248754, -10.362630632739126, -185.4511034837003]","[452.54942905211715, 12.187899909913881, -278.95044931086]","[529.9840297338889, -249.61549071484944, -321.920889945962]","[409.5912856195488, 191.8597952999209, -909.4709782128664]","[630.105543411996, 62.083573835543405, -427.2912890237608]",120.08314454441816,74.64284438798364,53.72375736256758,129.16042455937938,19.205862805332426,6.593584296482764,42.909137239132036,68.94351698312003
0.11255192756652832,"[-1127.1968272005602, -493.6896060292495, -1064.2182003074824]","[-106.53875494594467, 34.15331869498283, -77.23582870225277]","[106.53875494594445, -34.15331869498277, 77.23582870225289]","[304.8820642747743, 140.22185879426206, -89.16407541078229]","[270.2155156701699, -11.66910835094751, -188.24234973941043]","[441.18829687466007, 3.335654540986127, -303.135434419949]","[530.1948523583228, -249.7784765012749, -321.7925115878438]","[413.303062666683, 192.90402954424053, -899.8403094798539]","[623.9651098993379, 56.34004273649509, -446.4217835758798]",122.82270437387183,75.7565496748159,50.66259734099256,128.37154330550538,23.147273119688155,7.352602175779289,47.9172303691007,65.47543335827241
0.22788381576538086,"[-1124.2311186185038, -488.6605815617603, -1062.325619525294]","[-101.67255393150936, 34.7534442283083, -72.6895320220408]","[101.67255393150947, -34.753444228308354, 72.68953202204068]","[301.7337489140658, 136.77883323962385, -92.50105293609363]","[271.6617665236181, -12.346574601966722, -184.0063151153854]","[445.85090176103233, 5.024639798109888, -293.105376607004]","[530.7506082152822, -247.68566255943244, -317.26791987779166]","[407.76032147474757, 190.63256786228953, -908.7651033504683]","[624.682827005953, 57.355509721335864, -438.05271830644506]",121.25341512429907,75.79914746442793,51.69069534700917,128.96065810891238,20.424813908479564,6.887939087540379,44.6444757107456,66.12364637604543
0.33957386016845703,"[-1129.1962929662695, -492.1805929691878, -1065.8607245646722]","[-108.8988541205888, 31.0124531430983, -79.38951424883953]","[108.89885412058857, -31.0124531430983, 79.3895142488393]","[313.8673376197954, 140.13685133656196, -77.8192524928395]","[277.0119282604843, -11.707055961303979, -178.09707024812906]","[451.86273541903927, 5.4685587291861, -288.4624674925242]","[535.898701250271, -246.95220881630706, -312.27951963203736]","[412.7500318927233, 189.71950564658738, -904.5597275661928]","[630.9973553557845, 58.500034921011206, -429.420728856943]",122.76490247967939,75.70413595800679,53.12349418879496,127.17644662350051,25.55131496800891,5.995713575961215,47.46421396823895,67.76156887797042
0.45124292373657227,"[-1123.9085606270187, -489.5786128962976, -1061.415360092653]","[-98.61501699186601, 34.7912341603394, -69.84491665063842]","[98.61501699186624, -34.7912341603394, 69.84491665063865]","[308.0545119942449, 136.62441009063906, -82.5295324363085]","[263.21499103682777, -19.547118161225228, -194.3847476915978]","[451.7017455347677, 5.0444358509075755, -291.6027750366534]","[529.3319634005518, -251.00753149057073, -323.9977192827357]","[409.9783359721014, 189.76314606239197, -902.7314133450166]","[625.7254822605793, 57.018927385968766, -434.13619507929934]",122.21726779338907,75.83049455106095,55.99584845446565,125.34710623597792,24.06338880186058,8.682975834909131,44.73673786167453,66.75500724765077
0.5617058277130127,"[-1120.5104009297074, -486.50317024348664, -1058.897050282686]","[-96.90082848293059, 35.325434173927135, -68.26662315154681]","[96.90082848293048, -35.325434173927135, 68.26662315154704]","[315.45221024440946, 137.30216587067406, -68.93194073591303]","[271.2139444687788, -18.13582876894759, -177.82804083000815]","[447.9380687284697, -2.74531898891712, -310.6568672580531]","[538.5676661462956, -247.6353963183979, -319.6979891384465]","[404.36816407158324, 188.50938761896634, -911.9228507067576]","[623.6291250508859, 56.709576075192274, -432.7609981849416]",125.2231254757095,75.89600235507213,54.06641114331169,124.18103989352514,31.75136676313555,4.848068167983968,49.14351129843506,66.35950216007805
0.6740829944610596,"[-1121.519729814523, -487.49446586059895, -1059.842737964068]","[-96.8834980578356, 33.73166732223757, -67.38333428832311]","[96.88349805783537, -33.73166732223757, 67.383334288323]","[309.67249112876664, 127.79601227344267, -73.83337527436902]","[268.33427439537456, -25.97625160461365, -178.87418610047393]","[471.4407411500289, 4.601092426092578, -278.826671254458]","[561.7690303002062, -231.56387146828166, -282.34517439732304]","[406.127478835822, 185.12924466734324, -910.0591990126748]","[620.4436001119128, 50.20672948736092, -443.5110722508912]",120.46702449563745,78.73291214540485,60.99023317940608,120.06723761019094,25.27601779731924,10.42218905776984,38.266910130424634,54.4641687805936
0.7884359359741211,"[-1120.432774243733, -481.979364010886, -1061.5956174609482]","[-92.79551601492904, 29.961495127385206, -60.72612432164897]","[92.79551601492926, -29.961495127385263, 60.72612432164908]","[315.8698239090892, 121.86109091196579, -59.769781451539984]","[281.9843180849988, -23.876321043388202, -154.5524360587765]","[473.51842804684964, -5.485556230695977, -284.73594418657353]","[570.3167869037368, -234.97112586001504, -277.1509137443668]","[402.85477344397225, 176.2574546488123, -913.0255610330155]","[627.0537556019385, 51.67915686298733, -418.71558319672386]",122.51193319344813,77.38254132392754,59.697824388149726,121.12260275959557,31.553950868654034,4.45241602740448,41.20386113168717,59.67209608797849
0.9052188396453857,"[-1104.0153384310263, -474.77979132938935, -1045.6445768260128]","[-86.2546484700083, 30.475043539167643, -54.97891099938306]","[86.25464847000819, -30.475043539167643, 54.97891099938295]","[297.4037975090836, 108.13101975203153, -75.61873707322388]","[274.625155126938, -27.6529806452059, -155.5457433552317]","[462.37427534944425, -14.488390772873686, -303.6236899269211]","[564.860001511837, -239.29148206955358, -294.70972011416166]","[386.28105206070074, 167.97869537956296, -931.3784492811037]","[602.032161152898, 40.88354341797361, -458.85076258961]",122.38191241178797,78.23819061852888,57.10637134637935,123.68056576277186,27.76704723620294,2.236487034586495,37.21974846426785,55.10168124231807
1.0180339813232422,"[-1106.7797392796338, -479.3940248743752, -1046.6807570534943]","[-80.40356361642807, 33.17697256445217, -49.72715072368692]","[80.40356361642785, -33.17697256445217, 49.727150723687146]","[307.10066875206485, 107.46863020503474, -58.822007944120514]","[267.3883609390782, -35.90645033107421, -162.26613651733896]","[471.2895493487505, -17.018473786817253, -302.38586391371973]","[578.2162082788215, -237.64673409344346, -292.09378692329483]","[394.12839039858864, 165.59841783887543, -916.0489948251238]","[608.5647699823489, 45.358101889543605, -445.8200531350383]",123.67025527093864,77.40237521588863,63.354757744659075,117.07738333882847,33.837021035337585,4.340180680645211,38.222927848147606,54.108713796192056
1.1357088088989258,"[-1118.3651717352648, -482.8564778393385, -1056.784133038172]","[-84.04303592270094, 32.137991741335895, -53.171848452315544]","[84.04303592270094, -32.137991741335895, 53.17184845231566]","[326.70191257282477, 109.6791441348243, -30.89495712443363]","[281.80169127439365, -34.63714723454268, -140.9519741376066]","[493.60343546578974, -10.404222807654605, -288.04197042593023]","[595.1562684088798, -239.8477315330549, -293.6835287789179]","[403.0041105895318, 162.87867614889092, -913.0302205067883]","[620.1781320398508, 50.0507792035537, -436.059215517899]",125.36290010795078,76.80825079303642,70.09296927375618,114.52410581076087,42.8093284389365,1.5617723649016249,37.439011375652825,57.401347865225766
1.2484619617462158,"[-1114.3607233466005, -479.92258034347867, -1053.1494652306615]","[-91.12122751074935, 29.003107230872388, -60.02290120403245]","[91.12122751074946, -29.003107230872445, 60.02290120403268]","[324.19485653204276, 105.14793536028395, -29.626306076983838]","[288.74487020198296, -35.51957629668436, -125.41739999924835]","[497.724570186316, -17.721051294510914, -304.0081875625374]","[604.0859798751405, -233.97916008852394, -274.27984717887125]","[396.48220334970506, 150.1780292375098, -920.2281721487502]","[618.6804927541084, 50.6697150526619, -434.3878424817485]",125.66660323491284,77.64981713691891,68.01684354456813,114.87900676609863,44.294768025658655,3.174642057375852,37.712438146690666,56.00966124240902
1.3594269752502441,"[-1105.883700880489, -481.408630657878, -1043.57398147659]","[-82.32036840825867, 35.20152934341917, -52.8404234315467]","[82.32036840825856, -35.201529343419224, 52.84042343154681]","[312.0780811894191, 99.76735623998422, -41.253851006620835]","[278.39899259867775, -44.498950251669044, -132.17332721131538]","[493.2659983212177, -22.118838832519543, -312.7899445898747]","[607.0492955605125, -230.41429256902643, -269.94473035871533]","[386.84700172389944, 147.13245380379084, -932.0578182495062]","[609.6475678577691, 50.06129314042175, -445.9051363488252]",124.44160830009163,78.2736166717089,66.77538396019602,113.53742816442275,40.49562296605325,0.7532041864056601,35.125631761317,50.74689986024038
