Time,Origin,Left Shoulder,Right Shoulder,Left Hip,Right Hip,Left Knee,Right Knee,Left Ankle,Right Ankle,Left Knee Angle,Right Knee Angle,Left Yaw Angle,Right Yaw Angle,Left Pitch Angle,Right Pitch Angle,Left Roll Angle,Right Roll Angle
1.1497669219970703,"[-1161.796899625294, -504.67200212702943, -1097.7156213185638]","[-105.6417027824964, 29.91796471734, -69.7156536738205]","[105.64170278249617, -29.91796471734, 69.7156536738205]","[366.04552348077846, 147.79312374007867, 6.169345240404937]","[321.38898306794476, 5.975914943576811, -110.21529634624653]","[478.0233190311434, 19.774191254021332, -257.79286327424575]","[557.4727605966532, -323.9932883116575, -346.15868860307023]","[422.74302824813265, 214.79638811365788, -865.3987618694118]","[647.0602728307318, 51.73352318125637, -400.51256885749694]",129.97850658306436,60.55277496984556,67.23141745563377,128.18896605765892,59.28197873453263,14.981767183503269,51.70914886826248,77.03622913039126
1.2679049968719482,"[-1165.9427066251187, -507.65715289042737, -1101.3210043290205]","[-103.49445507177757, 30.809361536592803, -67.37531676971048]","[103.49445507177757, -30.809361536592746, 67.37531676971025]","[378.32122869371176, 150.18286962899464, 26.59369081676914]","[322.12365945549243, 2.961270241765021, -105.32043693758828]","[470.20654257160265, 13.322369788361925, -284.2066373855855]","[595.7262869755091, -285.43986687483266, -275.09960733620915]","[421.14152189254867, 213.58995956299106, -875.4310804287506]","[654.6809909117098, 57.760483353774305, -386.1987329317135]",133.57223233450506,66.11075066406893,70.46023810796038,119.00197629010052,71.22343163076107,8.287678916356123,59.255226161870674,66.53620334492649
1.3934330940246582,"[-1164.9094883457826, -503.3220184708028, -1100.6217184363932]","[-104.6952690279652, 29.079430433312552, -69.04169911933741]","[104.6952690279652, -29.079430433312552, 69.04169911933718]","[384.07090618827726, 148.54605737310362, 41.719110926761005]","[345.9665961078201, 12.826930055230434, -62.042344692275265]","[489.0605043759964, 20.918322810322934, -261.7977342686993]","[609.882041213822, -281.8615908566307, -266.3632646809215]","[421.68543476868876, 213.75986924389946, -872.945024882473]","[648.086506226089, 52.94839864358562, -403.1577597192097]",133.68321003005428,68.01066191383619,72.45829915490967,121.26481787361176,75.59991371866838,18.402771820549532,53.039477987716694,64.41819217494897
1.517590045928955,"[-1158.4923775928792, -499.95820056373026, -1094.7049808226748]","[-102.90589502763896, 29.325227378905822, -67.29071981176276]","[102.90589502763896, -29.325227378905822, 67.29071981176298]","[374.71597899256824, 137.92088085925462, 38.68022972303447]","[350.5902175844292, 9.262005003759214, -44.743528000175274]","[482.2758645112872, 8.253596004076257, -295.5797626688893]","[618.6670723696337, -276.54132554421386, -256.2872353879641]","[414.7991823096165, 211.4638346167999, -881.4846112205084]","[641.9799168006728, 52.65247358060543, -407.8074664245305]",134.0117083844506,69.82112807848397,66.12211979703035,123.77699847277721,76.18195967067005,21.848528987960183,53.78864786374589,62.13169356035868
1.6276869773864746,"[-1162.4159117202412, -504.08250088115153, -1097.2061787954087]","[-103.78552692944186, 28.944190753314444, -68.37888225903498]","[103.78552692944163, -28.944190753314388, 68.37888225903498]","[368.7044246758462, 130.23655141253914, 31.53051399898618]","[356.2028550947541, 6.476434179227454, -34.65032242242523]","[508.43164758257217, 17.280330870037517, -267.24218198883045]","[634.8428485576832, -269.0479605959591, -241.8581637062614]","[420.2726525569801, 211.73971175285521, -878.4251638324324]","[646.6675925161838, 55.72440781077444, -398.4957290684306]",131.08171834685777,70.36695413163169,66.75028614409179,126.42110736513554,68.9317163836017,22.815771596339438,43.86828032684203,60.37511968408876
1.7367219924926758,"[-1151.1945018833835, -500.59987253658664, -1085.2680927916153]","[-95.4778642219776, 30.547096142167163, -61.108007145774536]","[95.47786422197737, -30.54709614216722, 61.108007145774536]","[374.22018598121895, 127.51647356832189, 46.37582053685378]","[356.64895198468014, 4.267315687675534, -26.062754083418895]","[493.6755939611037, 3.3568573329592937, -292.88995623085316]","[632.6342696428045, -273.8560339055524, -248.21171133801113]","[409.98227505700515, 207.17197740178204, -890.2072120932294]","[632.0695873181218, 49.60662900383505, -416.1702004425006]",133.69261058903604,71.23579152575084,67.47759603151644,123.62052627379774,78.14162808527722,25.746417201486455,49.07060955946594,58.23789500930681
1.8487179279327393,"[-1157.1173797003398, -501.9233157146631, -1091.2220755816484]","[-100.57799613209, 28.37323308054863, -65.54164851463133]","[100.57799613209, -28.37323308054863, 65.54164851463133]","[378.06574829130795, 122.0742944062199, 53.6510212887174]","[359.31998402260126, -2.283982870182683, -20.57822044457407]","[501.59741310805543, 1.0387427394807673, -276.75128992993086]","[645.269030901982, -266.0914053744698, -235.55477092060164]","[415.8729585757767, 211.1165922716218, -884.3101553173929]","[636.4257445323937, 55.46855663467346, -412.2920949440497]",132.92683826921063,72.38749608139503,70.66856311822188,120.6140547637593,79.60588707300073,25.895786425114782,48.85321341341426,56.696563642347826
1.9568650722503662,"[-1140.2076194355977, -498.9343669923486, -1072.6843266415399]","[-102.11340023759544, 27.460485347954545, -68.07021838104538]","[102.11340023759567, -27.460485347954545, 68.0702183810456]","[368.64688553270526, 114.09172006463518, 49.73397119252195]","[347.7962619444602, -14.74983211604092, -23.80916941386704]","[484.8963798960443, -10.062289438327468, -297.922685019563]","[637.3566596680129, -269.8593382967981, -245.41331887040155]","[399.1748776803929, 207.5218715835096, -904.4001727965992]","[617.8729269302656, 50.440783376213346, -430.541238462569]",133.71893591028024,73.6792577661334,68.07001577525537,119.56735538214598,80.23036456759078,26.335652044068098,50.58483230314793,55.031949961769485
2.06712007522583,"[-1140.4157756800769, -499.1785189710986, -1072.3551067416308]","[-107.00884171787811, 25.731210114689816, -72.84993423328888]","[107.00884171787811, -25.731210114689816, 72.84993423328876]","[370.5271713365903, 111.59994852754602, 53.81312920924756]","[350.3093833657034, -19.107309206806462, -17.3901134856078]","[502.0858564818244, -0.25367024956636897, -265.96573666055565]","[637.0615211600007, -276.5385853319026, -256.6705866827756]","[400.9120772093311, 211.787781691826, -906.501664172846]","[619.3579447746456, 53.11141821907427, -427.2258217691608]",132.59044610805793,73.05353073075474,72.59116348204596,120.13415016788255,78.93953400973024,29.253801435043247,45.00002023119223,57.90855263081937
2.1773531436920166,"[-1139.7171947009338, -497.24959878575, -1072.0779406610636]","[-99.63936586791783, 28.64618614076005, -66.27251256853287]","[99.6393658679176, -28.64618614076005, 66.27251256853287]","[377.76347959596717, 110.28289460042652, 66.71902876173601]","[350.33501685103124, -27.173629013293294, -12.169065532082413]","[496.6931358978327, -1.935243697740134, -274.11759616185327]","[642.1613157631559, -274.0947639526537, -254.8666835578158]","[407.43933695426426, 212.43199113960782, -896.0202331415546]","[617.1855916192447, 52.491522893697265, -432.2212303368699]",134.9506456751671,74.5655955201153,75.94196335006717,115.92699499690717,86.56774376306905,30.587356518460165,47.74109269109671,55.117717098685254
2.2868850231170654,"[-1134.515321647851, -498.091111881002, -1065.5243672768427]","[-97.28057057269393, 29.40420300784126, -63.983725220983615]","[97.28057057269393, -29.40420300784126, 63.9837252209835]","[375.52852216277165, 105.39504821797448, 72.70794024367899]","[358.10918555107094, -26.354478268821595, 4.667274969678147]","[490.0067421123357, -5.370384358045158, -283.71697776736846]","[642.7743726329015, -269.03000384647044, -253.68911318769915]","[403.684810858863, 202.47365605191385, -905.4913018313198]","[617.8827575395795, 50.99321116222251, -425.61376802904624]",136.9708865679329,75.89936102954312,72.98029019217195,118.55301263339777,90.45317270544756,35.34651746987244,48.65925086668455,56.6248753526245
2.3960819244384766,"[-1137.0760105189813, -499.1028564065632, -1067.84947637759]","[-103.6759832792759, 27.255431847869602, -69.14928312986285]","[103.6759832792759, -27.255431847869545, 69.14928312986285]","[378.6603568382707, 100.51506804642446, 81.26838294170136]","[358.40443097809657, -35.53038715286391, 8.866928133143801]","[495.56572561333496, -5.912703518196395, -287.542856599468]","[652.8369168572248, -265.65395435657274, -248.13058487679177]","[402.5078280447676, 195.74980353250436, -908.8640071485036]","[620.8384219610505, 50.38285923150494, -428.2009514381043]",138.01600046231152,77.49014934184834,76.97537852408063,115.15920278046816,94.00266072716522,35.876384262914044,47.57496276897446,55.481548357992025
2.504379987716675,"[-1130.80658990821, -494.3972716996723, -1061.7450422558761]","[-99.77443079989484, 27.706235418213737, -66.37915034449384]","[99.77443079989484, -27.706235418213737, 66.37915034449372]","[371.3273914145417, 88.74931010510517, 80.03389167391367]","[363.6876619859062, -37.0707966493967, 23.548678344170412]","[494.87390969923365, -11.775605064627143, -303.21409956380126]","[643.9486085090955, -260.2790181304525, -257.116952816732]","[394.49312888317206, 187.22631348433924, -916.1623677530413]","[616.2730697082959, 53.588426207856685, -432.9068678851063]",138.42728765585986,80.01391013166906,73.03728674586237,119.75303836178857,94.11120170047055,41.83410246562743,45.50791750863191,58.020966221281284
2.619117021560669,"[-1141.9378618958863, -500.90495676945886, -1072.047104074446]","[-92.71984266969412, 31.26525110399581, -59.22744726287783]","[92.71984266969412, -31.265251103995865, 59.22744726287783]","[400.6504724776303, 103.06994201107818, 120.80279418867588]","[376.5807036966918, -32.36468329156412, 39.64258904608073]","[505.7477941114788, -5.97400380223354, -291.68279874728705]","[654.1280861055536, -251.84746409930665, -245.7993955346749]","[409.99299714968197, 195.4398005133333, -899.704532509573]","[626.9058868108337, 58.35677975730067, -425.6444313528443]",140.24378522066033,81.4502526816726,85.48756678768109,110.40557336021699,108.41696594099412,45.28519934281675,50.220374958053625,56.839443828937675
2.731205940246582,"[-1137.641095858705, -499.2049423076179, -1067.244013140117]","[-103.2542480709617, 26.74272678694149, -69.43292397335767]","[103.2542480709617, -26.74272678694149, 69.43292397335756]","[384.48181685010127, 95.49500614157688, 103.04901078427815]","[371.40941992763385, -37.83521028588075, 37.261315494601604]","[501.32034731346323, -9.289676211199264, -301.51603478700827]","[648.8966252636892, -253.17991803567907, -248.48545088075912]","[405.3880551211714, 193.9440853087293, -904.9307741714717]","[623.603114153729, 52.90165537474286, -428.152133042616]",139.23101853547723,82.29796564301483,78.33808451298151,115.42493740012429,102.08621683258389,45.18480236115595,48.259890989235664,57.60914504134465
2.84218692779541,"[-1129.6272551625698, -494.77946348407283, -1060.8994024474166]","[-95.24399567524188, 29.80473859186651, -62.37561625974831]","[95.2439956752421, -29.804738591866453, 62.37561625974831]","[379.6960543688051, 92.56398647165724, 100.82081343627374]","[364.2147011163248, -44.02503221012125, 34.64196040112938]","[494.2820019429429, -11.012558933602861, -306.6946266310283]","[640.4749018849694, -254.10336752590706, -254.57558167042203]","[400.87747342358045, 196.3794825638912, -903.6262249664071]","[619.2898044679196, 51.168121881185584, -431.92715317276884]",139.3051847992066,83.28265402901575,78.31113711325642,114.56873744819998,102.37544485501368,45.50550617568773,48.104340649546714,56.881924758966285
2.9538779258728027,"[-1128.8438130538443, -494.6693509293616, -1060.3163199349444]","[-92.67128148745678, 31.161752362942536, -60.255056272585534]","[92.67128148745701, -31.161752362942593, 60.255056272585534]","[372.45209492745755, 85.07538680441513, 94.36797226113435]","[364.3288500674556, -49.21469778509527, 38.596792407516546]","[494.30330279127327, -12.028035684587167, -311.3469664295196]","[639.6402351020943, -252.12790071140137, -254.09787603867858]","[397.59456906388357, 198.69637873104438, -912.6571059448106]","[614.2716565827577, 46.544679899989205, -444.9270193682755]",139.10317148751918,85.79309721270235,75.17675433643588,117.13316350293913,100.19291128803859,46.996008387242306,45.01171454357487,54.21598363835201
