Time,Left Shoulder,Right Shoulder,Left Hip,Right Hip,Left Knee,Right Knee,Left Ankle,Right Ankle
1.035566806793213,"[2.4856019162619987, 18.017572507522573, 132.61669688030122]","[-2.4856019162619987, -18.017572507522345, -132.61669688030116]","[532.6716123384263, 300.84243783979343, 51.43866372543823]","[548.9703539129662, 301.47355046356813, -107.96549410896068]","[884.6418890173953, 362.4737127846423, 121.0270553817071]","[855.19600233186, 378.45094791028725, -150.64681073254985]","[532.6716123384263, 300.84243783979343, 51.43866372543823]","[548.9703539129662, 301.47355046356813, -107.96549410896068]"
1.081319808959961,"[-0.5778338703102008, 12.118014461273788, 135.47857103408114]","[0.5778338703100871, -12.118014461273788, -135.47857103408126]","[531.3857231585966, 295.2751386616768, 54.98506745310783]","[547.6170603241735, 299.15637007708176, -106.95878995511731]","[878.3881966339127, 367.08008174738643, 113.93637002663752]","[854.9122468788065, 372.10491641904025, -146.56291980701764]","[531.3857231585966, 295.2751386616768, 54.98506745310783]","[547.6170603241735, 299.15637007708176, -106.95878995511731]"
1.127342939376831,"[2.7091561629212038, 17.898164843289237, 132.61917152203318]","[-2.7091561629212038, -17.89816484328935, -132.61917152203324]","[532.9270572701402, 298.66522189620696, 54.0806563374648]","[548.9604240502401, 299.28912236979215, -105.59353553936938]","[879.8241729132286, 369.43985683785183, 113.29997254101647]","[856.0613907417638, 375.67259547880883, -147.2603138784658]","[532.9270572701402, 298.66522189620696, 54.0806563374648]","[548.9604240502401, 299.28912236979215, -105.59353553936938]"
1.1728949546813965,"[-0.2454775756439176, 13.042224216721593, 135.80153165596437]","[0.2454775756439176, -13.042224216721479, -135.8015316559643]","[533.9874422370746, 297.9179090402936, 54.106969539253214]","[550.5209682569354, 303.1548676597198, -109.15144519110527]","[882.8430507231517, 366.21187461665556, 116.87117994472919]","[857.3560324820592, 377.13196730474704, -148.94731025817987]","[533.9874422370746, 297.9179090402936, 54.106969539253214]","[550.5209682569354, 303.1548676597198, -109.15144519110527]"
1.2195549011230469,"[-3.339067575978902, 7.332636031542052, 140.2221892918269]","[3.339067575978902, -7.332636031542052, -140.2221892918268]","[536.3940224558688, 302.2151020992095, 49.75512946127196]","[552.7109046640296, 306.8444704049522, -112.78502867273812]","[885.4306142311609, 368.28521652842494, 114.90043457812112]","[858.8274008136989, 382.82611790898636, -153.06913197899905]","[536.3940224558688, 302.2151020992095, 49.75512946127196]","[552.7109046640296, 306.8444704049522, -112.78502867273812]"
1.2690608501434326,"[-1.6881813908129288, 10.279431255827944, 137.69255378815728]","[1.6881813908129288, -10.27943125582783, -137.69255378815734]","[531.3778765165844, 296.19603514171445, 51.382452182942075]","[547.965384389781, 299.2093232757744, -109.25208047396308]","[878.0031328294656, 363.73642100483187, 114.60392818058551]","[854.1553149759595, 373.75644591158175, -147.97303544234097]","[531.3778765165844, 296.19603514171445, 51.382452182942075]","[547.965384389781, 299.2093232757744, -109.25208047396308]"
1.3163349628448486,"[0.11626536384869723, 12.68822126611974, 136.81701787499435]","[-0.11626536384869723, -12.688221266119854, -136.81701787499424]","[533.4110071265679, 299.47914843244143, 50.46917676517796]","[550.4376226224416, 305.8347454760184, -111.3553385040006]","[878.4377352085304, 372.3418304418516, 109.45715709287879]","[858.7781566606585, 375.81209050987275, -145.8717012215709]","[533.4110071265679, 299.47914843244143, 50.46917676517796]","[550.4376226224416, 305.8347454760184, -111.3553385040006]"
1.3654329776763916,"[0.0549928422509538, 12.826946123338075, 136.57815992660005]","[-0.0549928422509538, -12.826946123338303, -136.5781599266001]","[531.658771363716, 297.5533623695675, 50.3776537882851]","[548.6553376189963, 301.1138009469446, -109.7616752915016]","[880.787409390171, 360.3332662987144, 119.90735674144526]","[854.472422023108, 379.6177048699973, -149.5541048375465]","[531.658771363716, 297.5533623695675, 50.3776537882851]","[548.6553376189963, 301.1138009469446, -109.7616752915016]"
1.4190177917480469,"[-3.492669960640569, 6.466853681657312, 140.85358175554074]","[3.492669960640569, -6.46685368165754, -140.8535817555408]","[531.2383331014722, 297.3067795993435, 49.211525716541246]","[548.5745786872614, 300.8580748801653, -111.22953355202964]","[877.3799841464365, 366.76425497315404, 112.29490988196926]","[856.9428310496429, 376.4499185234172, -147.9662408978661]","[531.2383331014722, 297.3067795993435, 49.211525716541246]","[548.5745786872614, 300.8580748801653, -111.22953355202964]"
1.4733648300170898,"[-3.155224075131855, 7.853681497250022, 140.50079007936313]","[3.1552240751319687, -7.853681497250136, -140.50079007936307]","[531.6250340777134, 296.97844604900024, 49.99357385506937]","[549.5280495716863, 303.93109585438754, -112.8292135312198]","[878.9003320219197, 365.6477607727453, 113.88743657590726]","[856.244582599898, 382.0668835891239, -151.16864967585025]","[531.6250340777134, 296.97844604900024, 49.99357385506937]","[549.5280495716863, 303.93109585438754, -112.8292135312198]"
1.5237958431243896,"[-3.9700424747778698, 6.9149828506268705, 140.74765163168092]","[3.9700424747778698, -6.914982850626984, -140.74765163168092]","[529.7904027489999, 294.27084412830527, 51.123799027645305]","[547.7503993589858, 297.7704569613479, -109.54303778208248]","[874.8202617965624, 368.02677742257424, 109.5744259237647]","[857.2669647140065, 373.4139306327784, -146.1792597151853]","[529.7904027489999, 294.27084412830527, 51.123799027645305]","[547.7503993589858, 297.7704569613479, -109.54303778208248]"
1.5730528831481934,"[-2.9698337511059663, 9.422352799220903, 141.08436476430222]","[2.9698337511058526, -9.42235279922079, -141.08436476430222]","[532.251748136042, 299.21229651073133, 47.4463493064045]","[550.2607342187969, 303.4822582628417, -113.76069898034649]","[877.9089719885335, 370.6837416909998, 107.9085752189975]","[858.4136428391407, 380.7690927985931, -151.57106041292235]","[532.251748136042, 299.21229651073133, 47.4463493064045]","[550.2607342187969, 303.4822582628417, -113.76069898034649]"
1.628213882446289,"[-3.7289867991701158, 8.826845381958037, 142.11243815166642]","[3.7289867991702295, -8.82684538195781, -142.11243815166648]","[530.4944224239028, 296.0802851772935, 47.95814124810727]","[548.6020437137281, 301.9885518111232, -114.44465407067855]","[876.2257448397427, 366.09554727993, 109.9556504067748]","[854.9631654870384, 381.7845814127072, -153.92791037369688]","[530.4944224239028, 296.0802851772935, 47.95814124810727]","[548.6020437137281, 301.9885518111232, -114.44465407067855]"
1.677337884902954,"[-5.153111535952576, 6.749932964677555, 143.95608239452054]","[5.153111535952576, -6.749932964677555, -143.95608239452054]","[532.9805698831667, 301.2299963515842, 43.9663112415077]","[551.0544811236863, 307.69907442282977, -118.81558520155244]","[879.6379904667856, 368.4367470577432, 108.77135304483295]","[859.693744018588, 380.64830934274573, -154.14636643304834]","[532.9805698831667, 301.2299963515842, 43.9663112415077]","[551.0544811236863, 307.69907442282977, -118.81558520155244]"
1.7243678569793701,"[-5.948426186966003, 5.066584659644377, 144.4967586638337]","[5.948426186965889, -5.066584659644377, -144.4967586638337]","[532.4120339422224, 298.93275668337765, 45.68140195228091]","[550.4162664711729, 305.6198547351179, -117.24513386119116]","[878.9738643804737, 368.410560114035, 108.71380369477765]","[858.9473628819632, 381.215216657749, -153.97801635030862]","[532.4120339422224, 298.93275668337765, 45.68140195228091]","[550.4162664711729, 305.6198547351179, -117.24513386119116]"
1.772864818572998,"[-5.4807250762492, 5.5518957827687245, 144.5959649965381]","[5.480725076249314, -5.5518957827687245, -144.5959649965382]","[533.8109095388555, 300.3781430925088, 45.55326503958395]","[551.8480202789922, 307.08966962780903, -117.59851603438682]","[881.6119305264485, 367.72807639215284, 111.15258051335854]","[861.0026268389598, 383.5476833560057, -154.83403464232288]","[533.8109095388555, 300.3781430925088, 45.55326503958395]","[551.8480202789922, 307.08966962780903, -117.59851603438682]"
1.827812910079956,"[-9.155291812867517, -0.4939459661920864, 150.7077810924843]","[9.155291812867517, 0.4939459661920864, -150.70778109248425]","[540.6239794919047, 313.64059965022625, 36.60182734799207]","[558.4603599431967, 318.2765911960905, -125.51104457462645]","[885.8282757223103, 385.2781232626031, 99.17996742589571]","[867.3873931922874, 396.1986617883216, -164.26872072523287]","[540.6239794919047, 313.64059965022625, 36.60182734799207]","[558.4603599431967, 318.2765911960905, -125.51104457462645]"
1.8774499893188477,"[-12.214116204909942, -6.647875067183577, 153.87679160762605]","[12.214116204910056, 6.6478750671833495, -153.876791607626]","[540.8734463347483, 312.1281968180414, 38.16610256014974]","[558.6663096823756, 317.1425565712616, -124.18881382139386]","[884.1208011539222, 388.2431392546822, 96.97196240021253]","[868.3492007129978, 395.2254391343437, -162.62636843570328]","[540.8734463347483, 312.1281968180414, 38.16610256014974]","[558.6663096823756, 317.1425565712616, -124.18881382139386]"
1.9253449440002441,"[288.30373642303135, 518.0899238872895, -213.76988766751845]","[-288.30373642303135, -518.0899238872895, 213.76988766751845]","[237.9187845435942, -219.69156050138292, 411.0439968555779]","[255.80345789642584, -210.01633175238146, 244.95111110240282]","[582.8736609181709, -146.88787604140816, 474.1131907798732]","[565.6095032447608, -133.5376971488181, 207.7544360833461]","[237.9187845435942, -219.69156050138292, 411.0439968555779]","[255.80345789642584, -210.01633175238146, 244.95111110240282]"
1.973315954208374,"[-4.1975358831506355, 7.289734120006983, 144.29050715430878]","[4.197535883150749, -7.2897341200068695, -144.29050715430878]","[530.1261089525741, 293.0097876310515, 51.41167136805154]","[547.661180112089, 298.3586975961738, -111.76331412418455]","[872.5367306048315, 368.6931430830024, 111.11532753384279]","[857.482215178422, 376.522563672048, -150.05945869473453]","[530.1261089525741, 293.0097876310515, 51.41167136805154]","[547.661180112089, 298.3586975961738, -111.76331412418455]"
2.023667812347412,"[-1.1554057378302787, 12.76384522813214, 141.80731699316618]","[1.1554057378302787, -12.76384522813214, -141.80731699316618]","[531.6636578801215, 296.69260839330946, 49.81940608677098]","[548.9915237189366, 302.9392234579011, -113.79714589743986]","[876.4600635626357, 365.85521603291386, 116.44494396801508]","[857.5063549211503, 379.1752085619156, -151.46070002917298]","[531.6636578801215, 296.69260839330946, 49.81940608677098]","[548.9915237189366, 302.9392234579011, -113.79714589743986]"
2.070783853530884,"[-1.0712495978133347, 12.791909777972933, 141.47533111273515]","[1.071249597813221, -12.791909777972933, -141.4753311127352]","[529.3269643631498, 290.7511483076605, 53.02041880241268]","[546.0992479552663, 298.330861755108, -111.9356089347794]","[872.0158107957217, 369.18607659670874, 111.25079236907118]","[855.9565089039727, 373.6996226100771, -149.1070777391431]","[529.3269643631498, 290.7511483076605, 53.02041880241268]","[546.0992479552663, 298.330861755108, -111.9356089347794]"
2.123354911804199,"[-2.6655064858243804, 9.347875728281451, 142.59901142514957]","[2.6655064858243804, -9.347875728281451, -142.5990114251495]","[528.199895758638, 294.3982699690564, 48.36322544527536]","[544.7324917469404, 297.5447159892916, -112.30523071485669]","[873.1236388731041, 362.47372729966094, 117.04425220518283]","[852.320421946574, 377.3715417615755, -153.8754984089917]","[528.199895758638, 294.3982699690564, 48.36322544527536]","[544.7324917469404, 297.5447159892916, -112.30523071485669]"
2.1733529567718506,"[-5.033719287655913, 4.993286071330203, 146.11287653022566]","[5.033719287655799, -4.993286071330203, -146.11287653022566]","[529.18818266408, 298.5609041768324, 44.45155885494262]","[545.6335997561808, 303.3623150779713, -117.34913337674624]","[871.4549918933304, 374.06419263881605, 105.78208083002653]","[853.1224218471755, 381.3176920951298, -158.17972762408704]","[529.18818266408, 298.5609041768324, 44.45155885494262]","[545.6335997561808, 303.3623150779713, -117.34913337674624]"
2.2194559574127197,"[-1.234248822169775, 11.460574916298697, 141.23176281657766]","[1.2342488221696613, -11.460574916298697, -141.2317628165777]","[524.6088828055072, 288.0402822519543, 52.36208562451702]","[540.7641388998171, 295.02800151918507, -111.71992382658567]","[870.6512199329723, 359.63014401684575, 119.12182626005756]","[847.4702336008725, 375.3178757709768, -154.55217300652015]","[524.6088828055072, 288.0402822519543, 52.36208562451702]","[540.7641388998171, 295.02800151918507, -111.71992382658567]"
2.2665929794311523,"[-2.647318404330804, 8.80728517418845, 143.1331156435881]","[2.647318404330804, -8.807285174188337, -143.1331156435882]","[526.0521726986835, 289.77347073367946, 52.057722001671664]","[542.4819512669095, 301.13641655651895, -114.99250022136636]","[874.4457265705939, 358.41366898788215, 122.15483705318411]","[850.5211546295466, 374.64064595887635, -153.54337461854522]","[526.0521726986835, 289.77347073367946, 52.057722001671664]","[542.4819512669095, 301.13641655651895, -114.99250022136636]"
2.3138768672943115,"[-2.641834257748883, 9.098676308321956, 143.18170583041058]","[2.641834257748883, -9.098676308322183, -143.1817058304107]","[526.9554878789082, 290.15880379737814, 52.08861503987009]","[543.3292798418091, 300.1844396683258, -114.8033291432618]","[872.356073039681, 367.76578805103827, 113.11768724241233]","[852.9135404992472, 372.8012776279967, -152.89417922041923]","[526.9554878789082, 290.15880379737814, 52.08861503987009]","[543.3292798418091, 300.1844396683258, -114.8033291432618]"
2.3603739738464355,"[-5.564385901645778, 3.9120782716341864, 146.45993215560964]","[5.564385901645778, -3.9120782716340727, -146.45993215560958]","[526.9875988949647, 291.1766874931949, 50.08412118278284]","[543.1794469361332, 298.93226708397447, -114.95731972376774]","[873.007728083019, 364.9076526659071, 114.65281327828359]","[849.5159047460683, 380.02479770483706, -158.41146851237704]","[526.9875988949647, 291.1766874931949, 50.08412118278284]","[543.1794469361332, 298.93226708397447, -114.95731972376774]"
2.418562889099121,"[-6.057792714110633, 3.2958662754267607, 147.5679081864514]","[6.057792714110519, -3.2958662754265333, -147.5679081864513]","[530.098264486504, 294.7088325462104, 48.39010394486036]","[546.2949332643054, 303.3201910130018, -117.31685289851458]","[876.6812932373421, 368.6021538161074, 113.35922635452937]","[855.1246888910434, 378.5334439147415, -156.9145725780033]","[530.098264486504, 294.7088325462104, 48.39010394486036]","[546.2949332643054, 303.3201910130018, -117.31685289851458]"
2.4728729724884033,"[-7.9451188073260255, 0.34527310450630466, 149.35588639936964]","[7.945118807326139, -0.34527310450630466, -149.35588639936952]","[531.4417355463564, 295.6793086047969, 46.85304171461246]","[547.7433163327739, 305.99075832000256, -119.7883742902315]","[876.0386149464364, 374.86540341369096, 106.77315995955144]","[856.4510410697804, 380.39738923448806, -158.77235929453565]","[531.4417355463564, 295.6793086047969, 46.85304171461246]","[547.7433163327739, 305.99075832000256, -119.7883742902315]"
2.5185699462890625,"[286.5540455375309, 517.3090159123809, -214.17379026396105]","[-286.5540455375309, -517.3090159123809, 214.17379026396105]","[236.87663826034168, -218.5977790773461, 407.78436221911574]","[252.94538167451134, -212.85923829409455, 244.9312107223643]","[581.3266865162964, -144.147401409978, 471.8427105411467]","[559.6550799150143, -133.30145692793235, 202.85296839725663]","[236.87663826034168, -218.5977790773461, 407.78436221911574]","[252.94538167451134, -212.85923829409455, 244.9312107223643]"
2.566617965698242,"[285.5031335337615, 515.208651238477, -213.96804948296776]","[-285.5031335337615, -515.208651238477, 213.96804948296776]","[236.20058550655165, -222.55579831547243, 410.4990683068128]","[252.01523793294862, -215.47959842751197, 246.16796627135565]","[580.9242333327979, -147.0833859067002, 474.17552125457894]","[560.6313933759095, -139.96097633594889, 207.14845650479347]","[236.20058550655165, -222.55579831547243, 410.4990683068128]","[252.01523793294862, -215.47959842751197, 246.16796627135565]"
2.616405963897705,"[287.300551940431, 518.5946706161023, -215.00413824761628]","[-287.300551940431, -518.5946706161023, 215.00413824761628]","[237.74884607042367, -219.5019485000023, 409.02232580129066]","[287.300551940431, 518.5946706161023, -215.00413824761628]","[581.7417002259947, -141.93194194419095, 470.3286984992699]","[560.9222643814956, -133.35035745629227, 203.7126992390964]","[237.74884607042367, -219.5019485000023, 409.02232580129066]","[287.300551940431, 518.5946706161023, -215.00413824761628]"
2.6659200191497803,"[287.487320367589, 518.4018302088698, -215.46899282592096]","[-287.487320367589, -518.4018302088698, 215.46899282592096]","[237.93797343416566, -219.13512377369102, 409.21780327933686]","[253.68896955702394, -212.43950502522955, 244.31105387732543]","[585.0072615433337, -148.82223724614835, 478.0188685908323]","[560.3832975953146, -132.1871744883083, 203.5466310899074]","[237.93797343416566, -219.13512377369102, 409.21780327933686]","[253.68896955702394, -212.43950502522955, 244.31105387732543]"
2.7143828868865967,"[285.72194401216404, 514.7796710938178, -213.7619979092062]","[-285.72194401216404, -514.7796710938178, 213.7619979092062]","[235.6137830102689, -224.2808597007122, 412.3220508391647]","[251.06993565604873, -217.7625883621123, 247.07988351469677]","[580.3891053283774, -146.6897213393728, 473.4945050386714]","[557.8105359494159, -133.83673285262932, 204.70561427878553]","[235.6137830102689, -224.2808597007122, 412.3220508391647]","[251.06993565604873, -217.7625883621123, 247.07988351469677]"
2.7606568336486816,"[286.5875865646716, 515.8121028806935, -213.89608797479028]","[-286.5875865646716, -515.8121028806935, 213.89608797479028]","[236.0176785148758, -222.71229372621747, 411.2734086925183]","[251.71974894768695, -215.22959417824973, 245.57068283565903]","[579.2420340710421, -141.70778105293425, 468.29419643141784]","[560.1074234561436, -135.88540402523688, 207.3708366754557]","[236.0176785148758, -222.71229372621747, 411.2734086925183]","[251.71974894768695, -215.22959417824973, 245.57068283565903]"
2.810837984085083,"[290.0365642598323, 521.7709601304788, -216.5848429368881]","[-290.0365642598323, -521.7709601304788, 216.5848429368881]","[239.18165079792755, -218.79676095724994, 410.92745034834024]","[255.18357572752222, -209.0361210743688, 243.2599885598682]","[583.4506789779723, -140.6520074241223, 471.0075592890944]","[564.5163295601078, -131.76987415133613, 207.54497305743377]","[239.18165079792755, -218.79676095724994, 410.92745034834024]","[255.18357572752222, -209.0361210743688, 243.2599885598682]"
2.859405994415283,"[289.5478904571545, 520.7525705545152, -216.41874606335818]","[-289.5478904571545, -520.7525705545152, 216.41874606335818]","[238.63412319885688, -220.24420101883618, 412.2322810883385]","[254.8044324252005, -209.00476191454834, 243.21325026666682]","[582.1576341817038, -139.10436355769264, 469.33943395530764]","[564.8356036631276, -132.5542848106079, 208.09051261620874]","[238.63412319885688, -220.24420101883618, 412.2322810883385]","[254.8044324252005, -209.00476191454834, 243.21325026666682]"
2.908284902572632,"[288.37140186186224, 518.5222450376413, -215.2412517400432]","[-288.37140186186224, -518.5222450376413, 215.2412517400432]","[237.37016591996743, -223.40785261455687, 413.9731729128203]","[253.53159881991797, -213.96618819806213, 245.70243144671736]","[581.9638624106506, -143.73463626145326, 472.6652701385131]","[564.2286555303233, -135.71592593469381, 209.70908838374066]","[237.37016591996743, -223.40785261455687, 413.9731729128203]","[253.53159881991797, -213.96618819806213, 245.70243144671736]"
2.9586398601531982,"[287.9341594229447, 517.5008317117029, -215.08641875217162]","[-287.9341594229447, -517.5008317117029, 215.08641875217162]","[237.35458577141605, -222.5545164394075, 413.18209215964896]","[253.39651516687206, -212.22127003071193, 244.60483819973663]","[580.9740725044871, -142.03805459231637, 471.23913681492456]","[563.1509780310478, -132.2518605904146, 207.57937752012074]","[237.35458577141605, -222.5545164394075, 413.18209215964896]","[253.39651516687206, -212.22127003071193, 244.60483819973663]"
3.0108327865600586,"[287.2189422856472, 516.4045530325923, -213.79773258354436]","[-287.2189422856472, -516.4045530325923, 213.79773258354436]","[236.75382531537622, -225.98014841515578, 414.9592551036986]","[253.07333769030856, -213.9471665522642, 244.89294872830584]","[579.2597488822807, -142.99456479391165, 471.5291421054249]","[563.0190516329803, -134.7418294793256, 208.57592104693464]","[236.75382531537622, -225.98014841515578, 414.9592551036986]","[253.07333769030856, -213.9471665522642, 244.89294872830584]"
3.0620269775390625,"[287.99714615128084, 517.6994408723104, -214.61073597337432]","[-287.99714615128084, -517.6994408723104, 214.61073597337432]","[237.52246570536943, -222.72463511932608, 413.3630193116205]","[253.64370123461748, -216.66467495204893, 247.12331552519115]","[583.4550367419622, -148.58408825589322, 478.7902343012619]","[562.5546908965354, -129.8196971016937, 205.9950166751419]","[237.52246570536943, -222.72463511932608, 413.3630193116205]","[253.64370123461748, -216.66467495204893, 247.12331552519115]"
3.11260986328125,"[288.0334740982989, 517.7286193312176, -214.54984995496358]","[-288.0334740982989, -517.7286193312176, 214.54984995496358]","[237.74507279192122, -221.15921627108935, 412.072804964741]","[253.8399417646727, -215.7097635222675, 246.80281471420432]","[581.7945220899621, -144.5211207494749, 475.8151314313346]","[563.8973419981585, -132.33712380528152, 207.66546179060697]","[237.74507279192122, -221.15921627108935, 412.072804964741]","[253.8399417646727, -215.7097635222675, 246.80281471420432]"
3.159118890762329,"[289.5857526664158, 520.5060313106019, -215.7205200187328]","[-289.5857526664158, -520.5060313106019, 215.7205200187328]","[239.0924673289593, -220.74825674222973, 412.8225563408257]","[255.65700694975874, -211.21125037134868, 244.60128944132796]","[583.0329356739885, -140.709084109272, 474.4295038177378]","[568.8612303068223, -135.40445413539032, 210.4095149656035]","[239.0924673289593, -220.74825674222973, 412.8225563408257]","[255.65700694975874, -211.21125037134868, 244.60128944132796]"
3.204415798187256,"[288.29966778587425, 518.0273383850237, -215.16051821130495]","[-288.29966778587425, -518.0273383850237, 215.16051821130495]","[238.0254226388392, -224.31846289650912, 415.19346340055245]","[255.5765882232647, -212.42955688235395, 245.28009640134948]","[583.0059894812528, -145.47886834371855, 478.6326008730448]","[567.6770927467975, -134.96759171640724, 209.9301818528829]","[238.0254226388392, -224.31846289650912, 415.19346340055245]","[255.5765882232647, -212.42955688235395, 245.28009640134948]"
3.2527339458465576,"[-8.600765043225238, 0.11772102806503426, 143.69148142798133]","[8.600765043225238, -0.11772102806526163, -143.6914814279814]","[532.9264811159378, 288.38809593439566, 57.83514755496765]","[550.0148415229135, 301.6833733890164, -111.85084312349483]","[875.481264951562, 369.72854211589436, 119.77466223421777]","[861.5436345544686, 378.05739700285926, -147.10934665206543]","[532.9264811159378, 288.38809593439566, 57.83514755496765]","[550.0148415229135, 301.6833733890164, -111.85084312349483]"
3.304731845855713,"[-10.395109092996563, -3.1623943687061455, 146.2919488673117]","[10.395109092996677, 3.162394368706373, -146.29194886731176]","[536.88688084241, 297.25416701280847, 51.42253608161093]","[553.6313137929618, 307.7993971861332, -115.17924922555534]","[879.5144759528439, 376.4226742085326, 115.85414048372309]","[864.2231589986172, 387.55668166710905, -152.58897236279716]","[536.88688084241, 297.25416701280847, 51.42253608161093]","[553.6313137929618, 307.7993971861332, -115.17924922555534]"
3.3534698486328125,"[288.38651658498287, 518.2423393449582, -214.64779333181312]","[-288.38651658498287, -518.2423393449582, 214.64779333181312]","[238.4316627012662, -223.89971348190068, 412.23703835267304]","[255.4423368589549, -214.39246013518994, 246.0851168824785]","[582.263067589493, -140.83429615165676, 473.160104192846]","[566.8826736602985, -133.0397877925052, 207.40564386704884]","[238.4316627012662, -223.89971348190068, 412.23703835267304]","[255.4423368589549, -214.39246013518994, 246.0851168824785]"
