Time,Left Shoulder,Right Shoulder,Left Hip,Right Hip,Left Knee,Right Knee,Left Ankle,Right Ankle
0.5443930625915527,"[-6.6416026967228845, 9.24339246247439, 139.55752083995446]","[6.6416026967228845, -9.243392462474503, -139.55752083995452]","[534.6222754477639, 287.09390296145546, 53.243299257807735]","[555.2351916051005, 293.65353477549263, -112.06591317973874]","[883.6326489193985, 366.55351939338505, 122.32811414249466]","[864.5187515079066, 378.5111220596659, -154.81551644666104]","[534.6222754477639, 287.09390296145546, 53.243299257807735]","[555.2351916051005, 293.65353477549263, -112.06591317973874]"
0.5910320281982422,"[-8.542568809007776, 5.878817000612003, 140.55233349842467]","[8.54256880900789, -5.878817000611889, -140.55233349842467]","[530.9114659767382, 280.306983686169, 56.268703724110196]","[551.6600994768612, 291.87262366522805, -112.26375363423199]","[878.4525618033435, 362.7789197304137, 122.39343161774241]","[861.910310085907, 369.15123201441554, -150.09478994288781]","[530.9114659767382, 280.306983686169, 56.268703724110196]","[551.6600994768612, 291.87262366522805, -112.26375363423199]"
0.6481750011444092,"[-7.678705423708379, 7.560596505093031, 139.2111519688243]","[7.678705423708266, -7.560596505093031, -139.21115196882425]","[529.1742329690396, 274.57922565795707, 60.062854141797175]","[549.8217983424665, 285.80589366483787, -108.83404821285262]","[876.9500732180247, 358.01568056440556, 125.68599123955084]","[858.655400022277, 368.8999031750276, -150.64587660264226]","[529.1742329690396, 274.57922565795707, 60.062854141797175]","[549.8217983424665, 285.80589366483787, -108.83404821285262]"
0.6967530250549316,"[-9.650336872460912, 4.557001468187536, 142.215554271693]","[9.650336872461025, -4.557001468187536, -142.21555427169295]","[534.9896982243091, 284.89365224032656, 54.08276427778526]","[555.6923564666159, 294.55524309624536, -113.64202509782035]","[880.9538552677326, 369.7615242413783, 118.2335571503495]","[864.7394591945663, 376.92745365087103, -154.67793993691242]","[534.9896982243091, 284.89365224032656, 54.08276427778526]","[555.6923564666159, 294.55524309624536, -113.64202509782035]"
0.7474169731140137,"[-8.514766240034191, 6.315571938765402, 140.43772265200118]","[8.514766240034191, -6.315571938765515, -140.43772265200107]","[531.9350455069903, 276.893009487919, 59.62399447868779]","[552.7028374196211, 290.7574391725361, -111.12564092091077]","[879.4743133871477, 360.55744360945414, 125.96392972829153]","[861.1262481131754, 372.31387017288114, -151.5606234319373]","[531.9350455069903, 276.893009487919, 59.62399447868779]","[552.7028374196211, 290.7574391725361, -111.12564092091077]"
0.7998900413513184,"[-16.41209031263884, -7.2408161446549, 150.10081123034274]","[16.41209031263884, 7.240816144654673, -150.10081123034286]","[539.0085145006387, 289.36718423178854, 50.05308058007745]","[559.3738930683692, 295.4819749365795, -116.09842881346623]","[883.3584128634957, 378.13362963173756, 111.0643085668139]","[866.9619892587475, 386.35682208605704, -162.44373606928986]","[539.0085145006387, 289.36718423178854, 50.05308058007745]","[559.3738930683692, 295.4819749365795, -116.09842881346623]"
0.8509860038757324,"[-14.249978114353098, -3.3040994775274157, 148.73992895888898]","[14.249978114353212, 3.3040994775271884, -148.73992895888898]","[540.3296443000341, 285.5632224231683, 53.21013969016428]","[560.6152532134208, 300.07578006754727, -120.31321124319476]","[887.0114211988317, 377.9284251748718, 112.28695206388306]","[869.4060926541894, 387.1512435445421, -163.15139189684845]","[540.3296443000341, 285.5632224231683, 53.21013969016428]","[560.6152532134208, 300.07578006754727, -120.31321124319476]"
0.9016239643096924,"[-11.99815532816865, 0.29076033611545427, 145.8978190974882]","[11.99815532816865, -0.29076033611545427, -145.89781909748825]","[537.1113500608184, 274.2483845113122, 60.67057405870764]","[557.049576804685, 290.74557031423296, -115.49950063099504]","[883.6131882814545, 373.2020731742573, 115.08333240364675]","[865.5541431261423, 382.1447793390795, -160.85727768776678]","[537.1113500608184, 274.2483845113122, 60.67057405870764]","[557.049576804685, 290.74557031423296, -115.49950063099504]"
0.9565789699554443,"[-11.486286997026014, 0.507033659658191, 145.49929745940483]","[11.4862869970259, -0.5070336596584184, -145.4992974594049]","[535.5185156207026, 268.6159739124414, 64.29416755148861]","[555.2749798364738, 287.92745691713367, -115.4134896727341]","[882.8713072370758, 368.7851216851341, 119.05897722618295]","[864.8009837234599, 379.5490034585375, -160.34493788587645]","[535.5185156207026, 268.6159739124414, 64.29416755148861]","[555.2749798364738, 287.92745691713367, -115.4134896727341]"
1.006098985671997,"[-16.589373978671688, -7.104136423485215, 152.11554957985504]","[16.589373978671688, 7.104136423485215, -152.11554957985504]","[543.9520405132796, 276.72541342894533, 57.70582126650618]","[564.0040381410059, 290.88263774742074, -120.61094846447429]","[890.8390192916722, 386.467308062814, 106.76363411745342]","[875.144616263027, 392.8116952914454, -169.59272268650864]","[543.9520405132796, 276.72541342894533, 57.70582126650618]","[564.0040381410059, 290.88263774742074, -120.61094846447429]"
