Time,Left Shoulder,Right Shoulder,Left Hip,Right Hip,Left Knee,Right Knee,Left Ankle,Right Ankle
2.0104150772094727,"[-64.18649385615015, -56.90923984256983, 203.80595563901852]","[64.18649385615015, 56.909239842569605, -203.8059556390184]","[580.7694764634587, 339.23017906773805, -1.1423255366452167]","[597.1571164049589, 336.9481120121559, -166.0625256728719]","[951.5342634690455, 407.809070055024, 90.16651415561341]","[922.2885159863592, 432.4777061779814, -218.58342533467072]","[580.7694764634587, 339.23017906773805, -1.1423255366452167]","[597.1571164049589, 336.9481120121559, -166.0625256728719]"
2.0597400665283203,"[-65.19039802455984, -58.16519280792613, 203.43084570590077]","[65.19039802455984, 58.16519280792613, -203.43084570590065]","[579.6585406886755, 336.142803674098, -0.7059257873125944]","[596.4741850205197, 336.6937174930749, -166.55331065369313]","[947.5141864803113, 410.364095414855, 86.1964122982896]","[921.3209993692454, 427.4090617766601, -215.3412711827504]","[579.6585406886755, 336.142803674098, -0.7059257873125944]","[596.4741850205197, 336.6937174930749, -166.55331065369313]"
2.1085588932037354,"[-65.41872833024684, -58.22089693097996, 203.1708643711603]","[65.41872833024672, 58.22089693098019, -203.17086437116035]","[581.1330030046356, 336.9315794409855, -3.6497338271854005]","[597.825691453902, 337.1378789243016, -167.86216553077048]","[946.9916365146878, 410.59248456411956, 86.35614412391851]","[921.2858958907249, 427.7473763447879, -214.71170032334663]","[581.1330030046356, 336.9315794409855, -3.6497338271854005]","[597.825691453902, 337.1378789243016, -167.86216553077048]"
2.157067060470581,"[-66.44412626719009, -58.9361772795678, 204.38983006603712]","[66.44412626719009, 58.9361772795678, -204.38983006603712]","[584.9128163326457, 334.9925550260276, -0.45921246643843006]","[603.505095079992, 336.2307580313551, -167.41273147546815]","[948.6941630933582, 419.4210539483023, 80.27604738847867]","[928.17819995061, 429.4708046961289, -213.55976269543498]","[584.9128163326457, 334.9925550260276, -0.45921246643843006]","[603.505095079992, 336.2307580313551, -167.41273147546815]"
2.206434965133667,"[-71.18709218577817, -66.57387651424142, 209.35709613212714]","[71.18709218577817, 66.57387651424142, -209.35709613212708]","[587.0713661972933, 332.3325681845856, 1.0865282176779374]","[606.7448084134128, 337.2629627436405, -169.73507642431952]","[952.8208110201122, 415.3610132350532, 85.71258816840054]","[929.8050642958394, 433.66539697594135, -216.31334920817284]","[587.0713661972933, 332.3325681845856, 1.0865282176779374]","[606.7448084134128, 337.2629627436405, -169.73507642431952]"
2.2575690746307373,"[-65.55141478014787, -56.894635077979046, 203.3834697899972]","[65.55141478014787, 56.894635077979274, -203.38346978999726]","[584.9038384434309, 323.1463018838157, 8.621863065420712]","[605.4711606464683, 330.57240031146955, -165.31170667726485]","[952.4193617846456, 409.7043326675599, 92.95068774540118]","[930.9216279485166, 428.31996393490556, -209.3701591626977]","[584.9038384434309, 323.1463018838157, 8.621863065420712]","[605.4711606464683, 330.57240031146955, -165.31170667726485]"
2.307115077972412,"[-62.51303205920635, -53.988815509718734, 201.68552351879214]","[62.51303205920635, 53.988815509718734, -201.6855235187922]","[584.8704377167717, 310.6156929486135, 18.38839538480363]","[605.3192637480911, 323.1761065246186, -161.09904252143718]","[949.1277966519982, 412.19317046186404, 92.83531607564214]","[926.8015340241651, 436.0463412159795, -212.9126831110488]","[584.8704377167717, 310.6156929486135, 18.38839538480363]","[605.3192637480911, 323.1761065246186, -161.09904252143718]"
2.3554739952087402,"[-67.55162238868627, -62.67995108266882, 206.34794275878812]","[67.55162238868627, 62.67995108266905, -206.34794275878818]","[585.3017899421635, 299.46419272912954, 22.662732131094458]","[604.5359462143545, 319.12558991441756, -162.3527454390288]","[945.170228113357, 411.0568261242347, 92.29945465759295]","[925.4808253054371, 430.11843037936785, -211.31552530218414]","[585.3017899421635, 299.46419272912954, 22.662732131094458]","[604.5359462143545, 319.12558991441756, -162.3527454390288]"
2.4035050868988037,"[-61.38537601971689, -51.7790581735494, 200.22295106223498]","[61.38537601971677, 51.7790581735494, -200.2229510622351]","[588.3994341138407, 290.55592318761694, 28.276657985938527]","[604.9274817836867, 302.7778437731755, -153.69242026839663]","[943.2422507608156, 412.0608709019608, 93.12640266433493]","[929.9287558047864, 420.5305558919274, -202.7126029887183]","[588.3994341138407, 290.55592318761694, 28.276657985938527]","[604.9274817836867, 302.7778437731755, -153.69242026839663]"
2.4559760093688965,"[-64.53994645508544, -56.925238390618006, 203.93164118051652]","[64.53994645508544, 56.92523839061778, -203.93164118051646]","[594.9074609972463, 291.2679314449581, 25.97612492771441]","[610.472429711352, 311.26266871520636, -161.161492894961]","[948.1659933199733, 414.70763091846743, 92.80177550647988]","[936.6512841869649, 428.1804990882688, -203.14504498269037]","[594.9074609972463, 291.2679314449581, 25.97612492771441]","[610.472429711352, 311.26266871520636, -161.161492894961]"
2.5037879943847656,"[-68.11818032275664, -63.87894071897858, 206.37571261892253]","[68.11818032275653, 63.87894071897881, -206.3757126189226]","[592.2746566954042, 280.6906149214807, 27.971294235800087]","[606.4282233133459, 289.26699640133745, -152.49231322598695]","[945.8206656522711, 407.6106154557383, 96.75496996970367]","[932.6260120402242, 426.1264710990366, -199.60381793570178]","[592.2746566954042, 280.6906149214807, 27.971294235800087]","[606.4282233133459, 289.26699640133745, -152.49231322598695]"
2.5541229248046875,"[-61.859445975526796, -59.257126161942324, 203.79768236364646]","[61.85944597552668, 59.257126161942324, -203.79768236364657]","[595.4873323506918, 282.0565784526866, 25.660560823824994]","[608.8916604572125, 298.08245155528846, -158.28441978580548]","[940.1107804292658, 420.5211687677928, 86.67626406676777]","[934.3672428307505, 429.3446392048968, -185.93552799402954]","[595.4873323506918, 282.0565784526866, 25.660560823824994]","[608.8916604572125, 298.08245155528846, -158.28441978580548]"
2.6123099327087402,"[-59.35285908800313, -54.94375694090354, 202.0019135648339]","[59.35285908800324, 54.94375694090354, -202.00191356483384]","[595.9835099427689, 268.820428954225, 33.457248496217744]","[610.1965733868958, 292.9131384638233, -158.4319767824834]","[935.1472098667055, 422.74934990135716, 82.81868304440161]","[930.6462767703143, 429.86013691890355, -177.55074569177384]","[595.9835099427689, 268.820428954225, 33.457248496217744]","[610.1965733868958, 292.9131384638233, -158.4319767824834]"
2.663602113723755,"[-57.44736213913518, -56.32314591229374, 201.06274523783952]","[57.44736213913518, 56.32314591229351, -201.06274523783952]","[592.251606732916, 256.47851320888765, 37.46252979479311]","[606.7097986887344, 277.7330688589583, -151.86050002865744]","[932.8283900442655, 411.0685402656769, 94.97855087547941]","[926.9626782599612, 422.1060431827801, -169.56673939368034]","[592.251606732916, 256.47851320888765, 37.46252979479311]","[606.7097986887344, 277.7330688589583, -151.86050002865744]"
2.7123830318450928,"[-52.17725751923672, -55.456155587140984, 198.27956127151322]","[52.17725751923672, 55.456155587140984, -198.2795612715131]","[589.1549965367177, 257.5644138583899, 35.0938177685822]","[603.6890042325955, 276.7283553551895, -151.61757302784406]","[923.6222425712236, 411.84841370170534, 96.20683274174996]","[918.4837986699815, 425.3625907469483, -165.57469139671167]","[589.1549965367177, 257.5644138583899, 35.0938177685822]","[603.6890042325955, 276.7283553551895, -151.61757302784406]"
2.7679998874664307,"[-51.95909941579873, -58.50292547939853, 199.28041436711158]","[51.959099415798846, 58.50292547939853, -199.28041436711163]","[588.1437937784125, 238.62493684244328, 46.67209662969617]","[604.3986537005127, 270.57243771476226, -151.46518365695897]","[915.2757755484647, 416.51424396984305, 89.7840587402003]","[655.2490513293167, 1092.421593188953, -620.912289032622]","[588.1437937784125, 238.62493684244328, 46.67209662969617]","[604.3986537005127, 270.57243771476226, -151.46518365695897]"
2.81428599357605,"[302.23717595835393, 518.1672037048904, -210.56424288426152]","[-302.23717595835393, -518.1672037048904, 210.56424288426152]","[236.0670033026724, -340.9839731336742, 455.8168512933313]","[251.97799066163537, -311.1969882524561, 259.7039015467682]","[560.0701592047801, -155.11823772240416, 494.9931160261042]","[557.0073541891823, -159.34185485699982, 247.39216790216565]","[236.0670033026724, -340.9839731336742, 455.8168512933313]","[251.97799066163537, -311.1969882524561, 259.7039015467682]"
2.8627820014953613,"[-46.43461782536929, -55.82370080567398, 199.14929294315618]","[46.43461782536929, 55.82370080567398, -199.14929294315613]","[585.7737976872554, 226.21263881573134, 47.95942423378119]","[602.3268120938216, 257.1959383330478, -150.02455248275623]","[906.6257876694333, 417.20315267940816, 90.29538409757788]","[911.2323806749895, 399.45117349554766, -146.32533510764898]","[585.7737976872554, 226.21263881573134, 47.95942423378119]","[602.3268120938216, 257.1959383330478, -150.02455248275623]"
2.910191059112549,"[301.6819376088793, 518.1784471030137, -208.34480566705827]","[-301.6819376088793, -518.1784471030137, 208.34480566705827]","[239.84957478279043, -355.07306280621253, 459.36560386125495]","[253.45038398714718, -324.9447675987018, 259.4542255754531]","[558.4905183149212, -166.70971659086638, 503.3944757939819]","[554.2830704554485, -167.31557929071266, 253.8539269168507]","[239.84957478279043, -355.07306280621253, 459.36560386125495]","[253.45038398714718, -324.9447675987018, 259.4542255754531]"
2.9655230045318604,"[-19.248558929018145, -17.95108289283462, 170.36174175073234]","[19.248558929018145, 17.951082892834393, -170.36174175073228]","[563.4951557537494, 176.16298151716558, 79.65890505961158]","[576.4903019273262, 201.31505999868705, -116.66246308500769]","[876.4117370594404, 370.0021644573154, 121.078985401576]","[866.9927634901358, 375.3021858550145, -129.90386427084763]","[563.4951557537494, 176.16298151716558, 79.65890505961158]","[576.4903019273262, 201.31505999868705, -116.66246308500769]"
3.0136590003967285,"[-7.36620234615782, 0.2527719544689262, 159.86337054550108]","[7.366202346157934, -0.25277195446915357, -159.86337054550108]","[562.5774471133714, 170.08708989073943, 83.14334515156122]","[573.7223998599479, 198.02542112504216, -114.32657119914859]","[871.0612859755537, 366.700244654015, 123.3916503121211]","[858.4836070982137, 377.0046900251957, -128.82331080345085]","[562.5774471133714, 170.08708989073943, 83.14334515156122]","[573.7223998599479, 198.02542112504216, -114.32657119914859]"
3.0764241218566895,"[-8.727260252394672, -1.9688961440833737, 160.73889682139395]","[8.727260252394785, 1.968896144083601, -160.73889682139395]","[566.4743305295478, 166.3494362002258, 81.13557099972445]","[577.492473679993, 194.60512217732287, -117.56158657088241]","[870.8298742925679, 368.694069037468, 119.1410887897274]","[858.8171472905276, 378.0767144774376, -130.12372151819238]","[566.4743305295478, 166.3494362002258, 81.13557099972445]","[577.492473679993, 194.60512217732287, -117.56158657088241]"
3.130927085876465,"[-9.528769549366984, -3.3000995113773115, 157.5624723845467]","[9.528769549366984, 3.300099511377539, -157.56247238454682]","[556.7594202208878, 146.9430030648483, 90.86769547535891]","[569.1920389590067, 178.71598400978223, -108.07082825004176]","[855.4463605556532, 356.35142057039013, 123.35322186548387]","[847.1189786638884, 364.76604868068307, -119.81383443204373]","[556.7594202208878, 146.9430030648483, 90.86769547535891]","[569.1920389590067, 178.71598400978223, -108.07082825004176]"
3.186448097229004,"[-8.490139365472032, -2.458437511618513, 157.5550345378739]","[8.490139365472032, 2.4584375116187402, -157.55503453787378]","[558.5250192832929, 147.62271761452428, 88.37747207875793]","[570.4618005628867, 177.61637387718724, -109.03125497737483]","[852.3561143040931, 363.85793025075895, 116.17591570302841]","[846.9021373182863, 369.88245519739894, -122.15321326714025]","[558.5250192832929, 147.62271761452428, 88.37747207875793]","[570.4618005628867, 177.61637387718724, -109.03125497737483]"
3.2359700202941895,"[-7.786618835430204, -1.8516013960006603, 158.8244816321386]","[7.786618835430204, 1.8516013960008877, -158.8244816321385]","[560.3888921941536, 144.47257773982687, 86.83655505690422]","[572.5306276781099, 174.75892224379356, -112.29988833763002]","[855.2741574015636, 358.4701493752153, 116.93268238325277]","[843.5307026173203, 371.2766499062044, -123.73484868681328]","[560.3888921941536, 144.47257773982687, 86.83655505690422]","[572.5306276781099, 174.75892224379356, -112.29988833763002]"
3.2837910652160645,"[-10.327130485916655, -6.186012096609602, 160.80466423199573]","[10.327130485916769, 6.186012096609375, -160.8046642319958]","[558.8487253023256, 136.4720922559377, 88.31566691433022]","[571.5168222304002, 176.47880348520005, -116.61056958890862]","[850.5676060405393, 360.4868379164426, 110.03971156672048]","[833.4813667675138, 369.9595450992073, -127.04943967074956]","[558.8487253023256, 136.4720922559377, 88.31566691433022]","[571.5168222304002, 176.47880348520005, -116.61056958890862]"
3.3330729007720947,"[-16.474144203304377, -15.624149204837522, 167.41764479782717]","[16.474144203304377, 15.62414920483775, -167.41764479782722]","[556.975503409294, 125.52700593583938, 92.07275166648799]","[570.7276399685751, 169.21052378845332, -120.71590504669575]","[847.8485606932754, 353.89723069917363, 109.07031742210904]","[824.4893642889989, 370.2847670180158, -136.1307873795701]","[556.975503409294, 125.52700593583938, 92.07275166648799]","[570.7276399685751, 169.21052378845332, -120.71590504669575]"
