Time,Left Shoulder,Right Shoulder,Left Hip,Right Hip,Left Knee,Right Knee,Left Ankle,Right Ankle
0.5159661769866943,"[-8.62672793948002, 3.2132298837188955, 144.31674397482436]","[8.62672793948002, -3.213229883719123, -144.31674397482436]","[519.5546877791163, 302.59238307511646, 43.13783151115854]","[536.3097899363496, 294.7197599217159, -111.08196379943212]","[879.9560450120041, 351.45216999957995, 133.60483992690877]","[862.3148911421208, 370.1241216902023, -150.31736726369223]","[519.5546877791163, 302.59238307511646, 43.13783151115854]","[536.3097899363496, 294.7197599217159, -111.08196379943212]"
0.5671241283416748,"[-4.58930170216945, 10.34877540153775, 139.13357286584426]","[4.58930170216945, -10.348775401537523, -139.13357286584431]","[517.8018064159096, 300.23381842867263, 45.47291146070211]","[534.4625733128889, 293.03682008120677, -109.07036273383875]","[875.9261802839742, 353.59845860138626, 131.2323336297435]","[859.580985716163, 367.6894503792628, -147.59081009702794]","[517.8018064159096, 300.23381842867263, 45.47291146070211]","[534.4625733128889, 293.03682008120677, -109.07036273383875]"
0.6256411075592041,"[-10.40986174573311, 0.873377204834469, 145.48825035717687]","[10.409861745733224, -0.8733772048346964, -145.48825035717692]","[517.2229736516417, 298.12257057973875, 44.65344433801317]","[533.6511508516055, 287.8983219071646, -107.8638545534049]","[877.2587555231146, 346.8882568326528, 135.1402464214641]","[857.9327969062003, 368.63933570297695, -149.8413177554487]","[517.2229736516417, 298.12257057973875, 44.65344433801317]","[533.6511508516055, 287.8983219071646, -107.8638545534049]"
0.6754121780395508,"[299.46911787524243, 514.7692666315113, -216.8972949864974]","[-299.46911787524243, -514.7692666315113, 216.8972949864974]","[209.13543468130717, -214.29530982063704, 407.10437841666806]","[226.33765605448414, -217.25551080594767, 249.33744867860764]","[569.2413081519885, -163.73841466445606, 496.50204078557215]","[549.8979988322355, -143.30140761320217, 211.6392762214922]","[209.13543468130717, -214.29530982063704, 407.10437841666806]","[226.33765605448414, -217.25551080594767, 249.33744867860764]"
0.7237911224365234,"[-11.377197773150897, -0.14416169759579134, 147.46413034312218]","[11.377197773150783, 0.14416169759579134, -147.46413034312212]","[519.9945156508732, 299.80470306695645, 43.03046899331639]","[537.1935061035101, 296.75368708337885, -114.76515295072068]","[879.2028637697817, 353.43072575521865, 129.56991225375214]","[859.7213480653757, 374.16934059876337, -154.47543203971225]","[519.9945156508732, 299.80470306695645, 43.03046899331639]","[537.1935061035101, 296.75368708337885, -114.76515295072068]"
0.7757420539855957,"[-9.3136216975048, 3.6257237963229727, 146.17011693766335]","[9.313621697504686, -3.6257237963229727, -146.17011693766335]","[521.1129136149567, 301.48429703283034, 42.10905951410177]","[537.6086904637377, 292.5846488597317, -111.91434095063505]","[878.6283585065071, 359.4858478662321, 124.18707149137038]","[861.1711180393605, 374.13081573238424, -154.50971947463825]","[521.1129136149567, 301.48429703283034, 42.10905951410177]","[537.6086904637377, 292.5846488597317, -111.91434095063505]"
0.8343970775604248,"[-11.854044479242248, -0.36113758854207845, 148.689272305798]","[11.854044479242248, 0.36113758854207845, -148.68927230579806]","[520.092701357711, 298.6813870506413, 42.36288614878981]","[537.2917492844383, 296.0999882613729, -116.14087802077398]","[880.1606180869514, 351.1208496978012, 130.54369088083092]","[859.1492154210416, 374.1552392866846, -156.78365568117238]","[520.092701357711, 298.6813870506413, 42.36288614878981]","[537.2917492844383, 296.0999882613729, -116.14087802077398]"
0.8827650547027588,"[300.39513670890847, 516.2977891860263, -217.1651829334737]","[-300.39513670890847, -516.2977891860263, 217.1651829334737]","[210.4461204337886, -210.10054592839901, 403.53151953733413]","[227.26310793062166, -216.12667630031217, 248.383277223342]","[567.600830691545, -156.11832159376297, 488.8086089823039]","[548.6866669280225, -137.91383015199153, 208.0428225815606]","[210.4461204337886, -210.10054592839901, 403.53151953733413]","[227.26310793062166, -216.12667630031217, 248.383277223342]"
0.9332191944122314,"[299.45925098617676, 513.8459798542091, -217.80841421781898]","[-299.45925098617676, -513.8459798542091, 217.80841421781898]","[209.51140016927124, -210.10961913429549, 404.133115690428]","[225.75455073883674, -220.68562875160978, 251.8978256034134]","[568.9301110379596, -163.21611823990838, 496.7966049985798]","[549.5153340999674, -145.03626476411364, 213.12144528072665]","[209.51140016927124, -210.10961913429549, 404.133115690428]","[225.75455073883674, -220.68562875160978, 251.8978256034134]"
0.9848871231079102,"[-19.117325292422038, -10.692401065425429, 156.3987944268615]","[19.117325292422038, 10.692401065425429, -156.39879442686157]","[526.873095185727, 309.30849701759394, 34.25952950631836]","[542.7233423036304, 300.38175167313386, -119.67247638733113]","[884.5523617587365, 366.49184225420015, 116.82827566636854]","[864.841075373379, 382.5335111575703, -163.26284226463036]","[526.873095185727, 309.30849701759394, 34.25952950631836]","[542.7233423036304, 300.38175167313386, -119.67247638733113]"
