Time,Left Shoulder,Right Shoulder,Left Hip,Right Hip,Left Knee,Right Knee,Left Ankle,Right Ankle
0.5303981304168701,"[-3.218087534243068, -5.857114011966814, 179.62915593335435]","[3.218087534243182, 5.857114011967042, -179.62915593335447]","[511.90181098841856, 78.03831401470734, 77.19531905364397]","[521.2022597104076, 113.77852422467834, -140.08659096560655]","[794.0520833181004, 326.8988283067047, 90.28039242135617]","[778.8882162860983, 342.34168583291455, -163.33057974883008]","[511.90181098841856, 78.03831401470734, 77.19531905364397]","[521.2022597104076, 113.77852422467834, -140.08659096560655]"
0.5854380130767822,"[-1.3107229846724522, -2.551272435407782, 178.3944776574284]","[1.3107229846725659, 2.551272435407782, -178.39447765742835]","[515.3605140995361, 85.62370909545427, 73.3569949287371]","[524.6759390619922, 117.17951618059158, -141.14091885258625]","[796.4277610538966, 334.29036325754566, 86.07462099811016]","[782.6338510311418, 348.32730879947917, -163.7720209951404]","[515.3605140995361, 85.62370909545427, 73.3569949287371]","[524.6759390619922, 117.17951618059158, -141.14091885258625]"
0.6352899074554443,"[-5.17548345369562, -8.899268619072018, 181.97361728319447]","[5.17548345369562, 8.899268619072018, -181.97361728319453]","[514.7277609757272, 88.14407567315618, 70.32912344210229]","[524.4300478510951, 118.8619669480072, -143.10053771057738]","[796.1761287425809, 328.9597067500446, 89.2156508129865]","[781.9172612749204, 346.5757065633878, -163.92754112105325]","[514.7277609757272, 88.14407567315618, 70.32912344210229]","[524.4300478510951, 118.8619669480072, -143.10053771057738]"
0.6885390281677246,"[-4.427186116351095, -6.405921011278224, 181.94520662634284]","[4.4271861163512085, 6.4059210112779965, -181.94520662634284]","[518.6007975396806, 86.95614073032789, 72.05304213261206]","[528.7367487948351, 121.30564867076782, -144.68781267810277]","[799.5477544588712, 338.4337433961574, 82.9196830850608]","[786.1139059717059, 354.52116979975494, -168.20617533142462]","[518.6007975396806, 86.95614073032789, 72.05304213261206]","[528.7367487948351, 121.30564867076782, -144.68781267810277]"
0.7553610801696777,"[-4.562426660760025, -6.646930986719326, 180.7254721599602]","[4.562426660760025, 6.646930986719099, -180.72547215996025]","[515.0920150116932, 82.77414385279724, 73.97225023407384]","[525.318004120124, 116.81681865274311, -141.548718426039]","[795.5948802435632, 332.0446069618981, 87.3254944903714]","[784.1919626817771, 341.7024904741845, -159.25961305240924]","[515.0920150116932, 82.77414385279724, 73.97225023407384]","[525.318004120124, 116.81681865274311, -141.548718426039]"
0.8065500259399414,"[1.1640689635685249, 3.083730844296724, 176.05705261017056]","[-1.1640689635684112, -3.083730844296497, -176.05705261017044]","[518.6442091376286, 86.18287068833911, 74.30903864079971]","[528.8676600050607, 120.32046341601699, -141.54640490435315]","[798.8725670117193, 338.8060441697186, 85.82341353951244]","[787.0462184487105, 352.406210240189, -162.4910834821669]","[518.6442091376286, 86.18287068833911, 74.30903864079971]","[528.8676600050607, 120.32046341601699, -141.54640490435315]"
0.8584589958190918,"[-0.6033611996001582, 0.31513306303600075, 176.63728383503508]","[0.6033611996001582, -0.3151330630362281, -176.63728383503513]","[515.1522134631819, 86.61318258746905, 72.57972011011623]","[524.9731345218222, 115.64071317439266, -139.434634308277]","[795.002111333475, 331.30402482273155, 89.98754520480782]","[782.40511616398, 347.94957721470996, -160.30424362621937]","[515.1522134631819, 86.61318258746905, 72.57972011011623]","[524.9731345218222, 115.64071317439266, -139.434634308277]"
0.9067671298980713,"[-4.784363019964758, -7.476745561741154, 179.6157567972333]","[4.784363019964758, 7.4767455617410405, -179.6157567972333]","[510.91727675601373, 79.76466043942332, 75.00448796652836]","[520.520162540066, 106.65541457262225, -135.30095307790089]","[790.5251536891209, 323.77573015715154, 93.76631606881006]","[779.2879950911985, 336.5752465383183, -153.9228910313472]","[510.91727675601373, 79.76466043942332, 75.00448796652836]","[520.520162540066, 106.65541457262225, -135.30095307790089]"
0.9608449935913086,"[-0.05092902873911953, 1.2363973448113939, 174.71871845705198]","[0.050929028739005844, -1.2363973448116212, -174.71871845705192]","[509.7170964383601, 70.21742664728129, 82.97175859493404]","[520.1457513155742, 107.33560870286522, -134.61736798005575]","[788.5065843120187, 327.0869489183623, 90.95459322704949]","[778.7072060008566, 336.39248407839364, -153.3484799800711]","[509.7170964383601, 70.21742664728129, 82.97175859493404]","[520.1457513155742, 107.33560870286522, -134.61736798005575]"
1.0062799453735352,"[-6.6250123631973565, -10.715861795398723, 181.58980618814235]","[6.6250123631973565, 10.71586179539861, -181.5898061881424]","[511.98974783699003, 83.0473930719246, 72.35230225667942]","[521.6912794380838, 112.79586207737043, -138.45830173845223]","[790.6136303660574, 323.945511321617, 93.39842699514281]","[780.2025023417814, 338.89883206700483, -153.87220767206514]","[511.98974783699003, 83.0473930719246, 72.35230225667942]","[521.6912794380838, 112.79586207737043, -138.45830173845223]"
1.054805040359497,"[-2.3567277334346954, -3.5899786095096715, 179.33806011360616]","[2.3567277334346954, 3.589978609509444, -179.3380601136061]","[517.6604789280138, 86.95227196893848, 72.45900655926982]","[527.7503731998993, 121.7542831681651, -141.98120256973226]","[796.8746283956809, 336.54545572350355, 86.68406796825207]","[787.702941545469, 355.3313923157267, -158.0474122584401]","[517.6604789280138, 86.95227196893848, 72.45900655926982]","[527.7503731998993, 121.7542831681651, -141.98120256973226]"
